Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33416,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:36,2019-03-30 10:38,N,0.00,UAH
33417,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 10:38,2019-03-30 10:38,N,0.00,UAH
33418,Киев,ул. Гната Хоткевича 1,NewUser,2019-03-30 10:37,2019-03-30 10:38,N,0.00,UAH
33419,Киев,"ул. Берковецкая 6, Ашан",NewUser,2019-03-30 10:37,2019-03-30 10:38,N,0.00,UAH
33420,Виноградов,ул. Ивана Франко 135е,NewUser,2019-03-30 10:37,2019-03-30 10:38,N,0.00,UAH
33421,Киев,Харьковское шоссе 19,NewUser,2019-03-30 10:40,2019-03-30 10:41,N,0.00,UAH
33422,Мукачево,ул. Лавкивськая 1е,Timeout,2019-03-30 10:40,2019-03-30 10:41,N,0.00,UAH
33423,Киев,ул. Ярославская 55,NewUser,2019-03-30 10:42,2019-03-30 10:42,N,0.00,UAH
33424,Киев,ул. Бережанская 22,NewUser,2019-03-30 10:44,2019-03-30 10:45,N,0.00,UAH
33425,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 10:43,2019-03-30 10:46,N,0.00,UAH
33426,Киев,ул. Евгения Коновальца 26а,Timeout,2019-03-30 10:44,2019-03-30 10:45,N,0.00,UAH
33427,Киев,пр. Правды 66,Timeout,2019-03-30 10:43,2019-03-30 10:47,N,0.00,UAH
33428,Киев,ул. Петра Калнышевского 2,Timeout,2019-03-30 10:45,2019-03-30 10:47,N,0.00,UAH
33429,Киев,ул. Семьи Cосниных 17,NewUser,2019-03-30 10:48,2019-03-30 10:49,N,0.00,UAH
33430,Ужгород,ул. Гагарина 38,NewUser,2019-03-30 10:49,2019-03-30 10:49,N,0.00,UAH
33431,Ужгород,ул. Гагарина 38,NewUser,2019-03-30 10:49,2019-03-30 10:49,N,0.00,UAH
33432,Киев,пр. Победы 94,Timeout,2019-03-30 10:49,2019-03-30 10:50,N,0.00,UAH
33433,Одесса,ул. Заболотного 24,Timeout,2019-03-30 10:48,2019-03-30 10:50,N,0.00,UAH
33434,Ужгород,ул. Гагарина 38,Timeout,2019-03-30 10:49,2019-03-30 10:51,N,0.00,UAH
33435,Киев,ул. Радужная 8,Timeout,2019-03-30 10:49,2019-03-30 10:52,N,0.00,UAH
33436,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 10:51,2019-03-30 10:52,N,0.00,UAH
